date,home_team,away_team,result,season,result_code
2018-01-19,Wei Yi,So,A,2018,-1
2018-01-19,Svidler,Carlsen,D,2018,0
2018-01-19,Caruana,Matlakov,D,2018,0
2018-01-19,Giri,Anand,D,2018,0
2018-01-20,Mamedyarov,Wei Yi,H,2018,1
2018-01-20,Mamedyarov,Wei Yi,H,2018,1
2018-01-20,Anand,Kramnik,A,2018,-1
2018-01-20,Karjakin,Caruana,H,2018,1
2018-01-20,So,Giri,D,2018,0
2018-01-21,Kramnik,So,D,2018,0
2018-01-21,Giri,Mamedyarov,H,2018,1
2018-01-21,Svidler,Anand,D,2018,0
2018-01-21,Wei Yi,Matlakov,D,2018,0
2018-01-21,Giri,Mamedyarov,H,2018,1
2018-01-23,Anand,Carlsen,D,2018,0
2018-01-23,Mamedyarov,Kramnik,D,2018,0
2018-01-23,Karjakin,Wei Yi,D,2018,0
2018-01-23,Matlakov,Giri,A,2018,-1
2018-01-23,So,Svidler,D,2018,0
2018-01-24,Carlsen,So,H,2018,1
2018-01-24,Kramnik,Matlakov,H,2018,1
2018-01-24,Svidler,Mamedyarov,A,2018,-1
2018-01-24,Wei Yi,Caruana,D,2018,0
2018-01-24,Giri,Karjakin,D,2018,0
2018-01-26,Matlakov,Svidler,D,2018,0
2018-01-26,Karjakin,Kramnik,H,2018,1
2018-01-26,Caruana,Giri,D,2018,0
2018-01-26,Mamedyarov,Carlsen,D,2018,0
2018-01-27,Duda,Nakamura,A,2018,-1
2018-01-27,Kramnik,Caruana,H,2018,1
2018-01-27,Carlsen,Matlakov,H,2018,1
2018-01-27,Svidler,Karjakin,D,2018,0
2018-01-27,Anand,So,D,2018,0
2018-01-27,Svidler,Karjakin,D,2018,0
2018-01-28,Mamedyarov,Anand,D,2018,0
2018-01-28,Wei Yi,Giri,D,2018,0
2018-01-28,Karjakin,Carlsen,D,2018,0
2018-01-28,Caruana,Svidler,D,2018,0
2018-01-28,Mamedyarov,Anand,D,2018,0
2018-01-30,Wang Hao,Nakamura,D,2018,0
2018-01-31,Nakamura,Rapport,D,2018,0
2018-02-01,MVL,Nakamura,D,2018,0
2018-02-01,MVL,Aronian,D,2018,0
2018-02-01,Aronian,Nakamura,D,2018,0
2018-02-01,MVL,Rapport,D,2018,0
2018-02-10,Vitiugov,Duda,D,2018,0
2018-02-10,Matlakov,Harikrishna,D,2018,0
2018-02-24,MVL,Ivanchuk,D,2018,0
2018-02-25,Harikrishna,MVL,D,2018,0
2018-02-25,Anand,Rapport,D,2018,0
2018-02-25,Jakovenko,Almasi,D,2018,0
2018-03-10,Navara,MVL,A,2018,-1
2018-03-10,Aronian,Ding Liren,D,2018,0
2018-03-10,Kramnik,Grischuk,H,2018,1
2018-03-10,Karjakin,Mamedyarov,A,2018,-1
2018-03-10,Caruana,So,H,2018,1
2018-03-11,Kramnik,Karjakin,D,2018,0
2018-03-11,Ding Liren,Caruana,D,2018,0
2018-03-11,Grischuk,So,H,2018,1
2018-03-11,Mamedyarov,Aronian,D,2018,0
2018-03-12,Karjakin,Grischuk,D,2018,0
2018-03-12,Aronian,Kramnik,A,2018,-1
2018-03-12,So,Ding Liren,D,2018,0
2018-03-12,Caruana,Mamedyarov,D,2018,0
2018-03-14,Kramnik,Caruana,A,2018,-1
2018-03-14,Grischuk,Ding Liren,D,2018,0
2018-03-14,Karjakin,Aronian,A,2018,-1
2018-03-14,Mamedyarov,So,D,2018,0
2018-03-15,So,Kramnik,D,2018,0
2018-03-15,Aronian,Grischuk,D,2018,0
2018-03-15,Ding Liren,Mamedyarov,D,2018,0
2018-03-15,Caruana,Karjakin,D,2018,0
2018-03-15,Aronian,Grischuk,D,2018,0
2018-03-16,Ding Liren,Karjakin,D,2018,0
